filename,true_emotion,MO,EBC,EBM,LC,W,predicted
KA.AN1.39.tiff,Angry,13,2.65609887102498,0.5272792244837012,52,190,Surprise
KA.AN2.40.tiff,Angry,11,2.897056988181041,0.5632412632463165,52,229,Surprise
KA.AN3.41.tiff,Angry,12,3.1562797650967767,0.5643385806377422,63,157,Surprise
KA.DI1.42.tiff,Disgust,20,3.886509424420609,0.4975844680008425,53,180,Surprise
KA.DI2.43.tiff,Disgust,18,3.7022119731361136,0.479102359122009,57,151,Surprise
KA.DI3.44.tiff,Disgust,18,3.35773949590381,0.5272998545866047,58,140,Surprise
KA.HA1.29.tiff,Happy,8,3.867341571737176,0.3787869800707891,45,116,Surprise
KA.HA2.30.tiff,Happy,8,3.277594821702262,0.3911537610887209,42,104,Surprise
KA.HA3.31.tiff,Happy,10,4.022658927124534,0.4408108621283684,39,81,Surprise
KA.HA4.32.tiff,Happy,12,4.154922241735379,0.4855018607483725,47,54,Surprise
KA.NE1.26.tiff,Neutral,12,2.8626565806674966,0.4574664681985763,36,155,Surprise
KA.NE2.27.tiff,Neutral,11,2.5999286854125563,0.4313266212570487,34,208,Surprise
KA.NE3.28.tiff,Neutral,12,2.66601464983818,0.449974639649092,39,148,Surprise
KA.SU1.36.tiff,Surprise,14,5.168066254613989,0.49939219204524,53,151,Surprise
KA.SU2.37.tiff,Surprise,16,3.6365958115958112,0.4276621400966129,41,181,Surprise
KA.SU3.38.tiff,Surprise,24,4.203409382385507,0.3928312213475298,51,139,Surprise
KL.AN1.167.tiff,Angry,17,2.572475936761651,0.4307345999175629,11,89,Surprise
KL.AN2.168.tiff,Angry,20,2.379555539994511,0.4167731566851011,43,129,Surprise
KL.AN3.169.tiff,Angry,19,2.6266093859843864,0.4497167007434484,57,38,Happy
KL.DI1.170.tiff,Disgust,33,2.822813456635718,0.4523798310627473,11,62,Surprise
KL.DI2.171.tiff,Disgust,33,2.6546203373712025,0.4376259343812042,10,77,Surprise
KL.DI3.172.tiff,Disgust,31,2.8690401372721817,0.4834654654353012,12,50,Surprise
KL.DI4.173.tiff,Disgust,34,2.928166311695723,0.4685506159595374,9,134,Surprise
KL.HA1.158.tiff,Happy,30,3.226424354975169,0.4368031722083857,9,11,Unclassified
KL.HA2.159.tiff,Happy,9,2.807643395137932,0.4645735138114715,9,37,Neutral
